experiment_id,condition,task_domain,task_type,schema_conformance_pct,grounding_citation_pct,cross_domain_consistency_pct,hallucination_rate_pct,completion_time_seconds,token_count,entropy,perplexity,traceability_pct,reasoning_depth,expert_rating_out_of_10,notes
exp018,single_schema,full_stack,multi_domain,65,25,45,28,420,5500,3.5,12.8,28,1.5,5.8,DDD schema only
exp019,multi_schema,full_stack,multi_domain,73,52,70,18,280,14200,2.6,7.5,45,2.1,7.4,DDD + Data + UX schemas (no grounding)
exp020,full_canonical,full_stack,multi_domain,88,85,88,8,120,22000,2.0,4.2,60,2.8,8.6,All schemas + explicit grounding
exp021,baseline,ddd,aggregate_design,43,0,NA,30,165,820,4.3,19.2,14,1.2,4.4,Design order aggregate
exp022,full_canonical,ddd,aggregate_design,92,90,NA,7,95,17500,1.8,3.8,62,2.9,8.7,Design order aggregate
exp023,baseline,ux,workflow_design,46,0,NA,26,185,795,4.2,18.1,16,1.3,4.6,Design checkout workflow
exp024,full_canonical,ux,workflow_design,89,87,90,8,108,18300,1.9,4.0,59,2.7,8.5,Design checkout workflow
exp025,baseline,data_eng,pipeline_design,44,0,NA,29,198,865,4.4,20.5,13,1.1,4.3,Design ETL pipeline
exp026,full_canonical,data_eng,pipeline_design,91,89,91,7,102,18900,1.9,4.1,63,3.0,8.6,Design ETL pipeline
exp027,baseline,qe,test_strategy,51,0,NA,21,170,875,3.9,15.8,21,1.5,5.2,Design test strategy
exp028,full_canonical,qe,test_strategy,87,83,84,10,122,17200,2.0,4.6,56,2.6,8.3,Design test strategy
exp029,baseline,full_stack,user_registration,38,0,28,38,485,1150,4.9,26.8,9,0.9,3.7,Complete user registration feature
exp030,full_canonical,full_stack,user_registration,90,88,90,7,115,21500,1.9,4.0,62,2.9,8.7,Complete user registration feature
exp031,single_schema,ddd,aggregate_design,83,36,NA,13,128,4300,2.9,9.8,40,1.8,7.1,DDD schema only
exp032,multi_schema,ddd,cross_domain,84,70,72,14,138,12800,2.2,5.5,56,2.4,8.2,DDD + Data schemas
exp033,baseline,integration,cross_domain_integration,35,0,25,42,720,1350,5.2,32.4,8,0.8,3.4,Integrate DDD + UX + Data
exp034,multi_no_grounding,integration,cross_domain_integration,52,18,40,32,580,13500,3.8,15.2,22,1.3,5.5,Multiple schemas without explicit grounding
exp035,full_canonical,integration,cross_domain_integration,85,82,85,10,180,20500,2.1,4.7,58,2.7,8.4,Multiple schemas with explicit grounding
exp036,baseline,explanation,justify_design,NA,NA,NA,NA,NA,NA,NA,NA,12,1.1,3.8,Explain aggregate boundary decision
exp037,full_canonical,explanation,justify_design,NA,NA,NA,NA,NA,NA,NA,NA,65,3.2,9.1,Explain aggregate boundary decision with schema citations
exp038,baseline,entropy_test,aggregate_design,NA,NA,NA,NA,NA,NA,4.3,19.5,NA,NA,NA,Entropy measurement only
exp039,single_schema,entropy_test,aggregate_design,NA,NA,NA,NA,NA,NA,2.7,8.9,NA,NA,NA,Entropy with DDD schema
exp040,full_canonical,entropy_test,aggregate_design,NA,NA,NA,NA,NA,NA,1.9,4.1,NA,NA,NA,Entropy with full canonical
exp041,baseline,ux,simple_form,65,0,NA,18,90,450,3.2,11.5,25,1.5,5.9,Simple form design - less benefit
exp042,full_canonical,ux,simple_form,78,55,60,12,85,8200,2.5,6.8,38,1.9,7.2,Simple form - moderate benefit
exp043,baseline,full_stack,complex_workflow,32,0,22,45,680,1420,5.4,38.2,7,0.7,3.1,Complex multi-aggregate workflow
exp044,full_canonical,full_stack,complex_workflow,92,90,92,6,135,24500,1.8,3.7,68,3.3,9.0,Complex multi-aggregate workflow - high benefit
exp045,fine_tuned,ddd,aggregate_design,92,88,NA,8,88,850,2.0,4.3,50,2.5,8.4,Fine-tuned model on canonical datasets
exp046,rag,ddd,aggregate_design,87,82,NA,10,125,17800,2.1,4.8,60,2.7,8.3,RAG approach with schema retrieval
exp047,hybrid,ddd,aggregate_design,96,94,NA,4,92,18200,1.7,3.5,68,3.1,9.1,Hybrid fine-tuning + RAG
exp048,constrained_decode,ddd,aggregate_design,100,95,NA,2,105,850,1.5,2.8,55,2.8,8.8,Constrained decoding (guaranteed conformance)
exp049,baseline,agile,feature_mapping,55,0,NA,28,145,680,3.8,14.2,18,1.4,5.0,Map feature to bounded contexts
exp050,full_canonical,agile,feature_mapping,82,75,78,12,98,15800,2.2,5.4,52,2.4,7.9,Map feature with explicit grounding
exp051,baseline,compliance,control_design,48,0,NA,26,172,795,4.1,17.5,15,1.2,4.7,Design compliance control
exp052,full_canonical,compliance,control_design,88,84,86,9,118,18500,2.0,4.3,57,2.6,8.4,Design compliance control (extended domain)
exp053,baseline,security,threat_model,52,0,NA,24,158,810,3.9,16.2,19,1.4,5.1,Design threat model
exp054,full_canonical,security,threat_model,86,81,83,11,128,17900,2.1,4.6,54,2.5,8.2,Design threat model (extended domain)
exp055,baseline,devops,pipeline_config,49,0,NA,27,168,825,4.0,16.8,17,1.3,4.9,Design CI/CD pipeline
exp056,full_canonical,devops,pipeline_config,89,86,88,8,112,18400,1.9,4.2,59,2.7,8.5,Design CI/CD pipeline (extended domain)
exp057,practitioner_novice,ddd,aggregate_design,41,0,NA,31,245,920,4.5,20.8,11,1.0,4.1,Novice practitioner without schema
exp058,practitioner_novice_schema,ddd,aggregate_design,76,62,NA,16,165,16200,2.4,6.5,48,2.1,7.6,Novice practitioner with schema (4x experience reduction)
exp059,practitioner_expert,ddd,aggregate_design,78,0,NA,12,95,880,2.8,9.2,52,2.3,7.8,Expert practitioner without schema
exp060,practitioner_expert_schema,ddd,aggregate_design,94,89,NA,5,85,17100,1.8,3.9,70,3.2,9.2,Expert practitioner with schema (refinement)
exp061,longitudinal_week1,ddd,aggregate_design,43,0,NA,29,182,835,4.2,18.9,14,1.2,4.4,Baseline week 1
exp062,longitudinal_week4,ddd,aggregate_design,88,85,NA,9,108,17800,2.0,4.4,58,2.7,8.4,After 1 month using canonical schemas
exp063,longitudinal_week12,ddd,aggregate_design,92,90,NA,6,95,18200,1.8,3.8,65,3.0,8.8,After 3 months using canonical schemas
exp064,team_size_2,ddd,cross_domain,86,82,84,10,125,17500,2.0,4.5,56,2.6,8.2,Small team (2 people)
exp065,team_size_5,ddd,cross_domain,89,86,87,8,118,18100,1.9,4.2,60,2.8,8.5,Medium team (5 people)
exp066,team_size_10,ddd,cross_domain,91,88,89,7,112,18600,1.9,4.0,62,2.9,8.6,Large team (10 people - coordination benefit)
exp067,domain_maturity_2yr,new_domain,single_domain,62,45,NA,22,155,8500,3.1,10.8,32,1.6,6.2,Immature domain (2 years) - premature formalization risk
exp068,domain_maturity_8yr,established,single_domain,87,84,NA,9,115,17200,2.0,4.4,58,2.7,8.4,Mature domain (8 years) - good fit
exp069,domain_maturity_20yr,legacy,single_domain,90,88,NA,7,105,17800,1.9,4.1,61,2.8,8.6,Very mature domain (20 years) - excellent fit
exp070,creative_task,ux,exploration,38,25,NA,35,280,9200,4.6,22.5,15,1.1,4.3,Exploratory creative design - schema inhibits
exp071,integration_task,full_stack,coordination,88,86,88,8,125,21000,2.0,4.3,60,2.8,8.5,Integration task - schema enables
exp072,simple_crud,ux,basic_ui,72,42,NA,15,95,5800,2.6,7.5,35,1.7,6.8,Simple CRUD - limited benefit
exp073,complex_saga,ddd,orchestration,91,89,90,7,145,22500,1.9,4.0,64,3.1,8.9,Complex saga pattern - high benefit
exp074,real_time,data_eng,streaming,68,58,62,18,215,24800,2.7,7.8,42,2.0,7.1,Real-time streaming - token cost concern
exp075,batch,data_eng,batch_processing,89,86,88,8,108,18100,1.9,4.2,59,2.7,8.5,Batch processing - good fit
